state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
WEST BENGAL,1,MEKLIGANJ,MALE,68.0,SC,AITC,Flowers and Grass,98790,548,99338,49.98,226465.0,1,ADHIKARY PARESH CHANDRA
WEST BENGAL,1,MEKLIGANJ,MALE,38.0,SC,BJP,Lotus,83991,662,84653,42.59,226465.0,2,DADHIRAM RAY
WEST BENGAL,1,MEKLIGANJ,MALE,62.0,SC,AIFB,Lion,6758,95,6853,3.45,226465.0,3,GOBINDA CHANDRA ROY
WEST BENGAL,1,MEKLIGANJ,,,,NOTA,NOTA,2442,5,2447,1.23,226465.0,4,NOTA
WEST BENGAL,1,MEKLIGANJ,MALE,37.0,SC,SUCI,Battery torch,1761,7,1768,0.89,226465.0,5,RANJIT KUMAR ROY
WEST BENGAL,1,MEKLIGANJ,MALE,71.0,SC,BSP,Elephant,1019,6,1025,0.52,226465.0,6,JYOTISH ROY
WEST BENGAL,1,MEKLIGANJ,MALE,46.0,SC,IND,COCONUT FARM,953,2,955,0.48,226465.0,7,SUBHASH BARMAN
WEST BENGAL,1,MEKLIGANJ,MALE,36.0,SC,KPPU,Saw,789,5,794,0.4,226465.0,8,KUKIL ADHIKARY
WEST BENGAL,1,MEKLIGANJ,FEMALE,33.0,SC,IND,Telephone,508,3,511,0.26,226465.0,9,GOLAPI ROY
WEST BENGAL,1,MEKLIGANJ,FEMALE,31.0,SC,AMB,Boat with Man and Sail,396,4,400,0.2,226465.0,10,CHINU ROY BARMAN
TURN OUT,,,,,TOTAL:,,,197407,1337,198744,87.76,,,
WEST BENGAL,2,MATHABHANGA,MALE,55.0,SC,BJP,Lotus,112146,1103,113249,52.87,248022.0,1,SUSHIL BARMAN
WEST BENGAL,2,MATHABHANGA,MALE,66.0,SC,AITC,Flowers and Grass,86470,645,87115,40.67,248022.0,2,GIRINDRA NATH BARMAN
WEST BENGAL,2,MATHABHANGA,MALE,38.0,SC,CPI(M),"Hammer, Sickle and Star",7553,165,7718,3.6,248022.0,3,ASHOK BARMAN
WEST BENGAL,2,MATHABHANGA,,,,NOTA,NOTA,1431,12,1443,0.67,248022.0,4,NOTA
WEST BENGAL,2,MATHABHANGA,MALE,52.0,SC,KPPU,SHIP,1282,7,1289,0.6,248022.0,5,KANGSA RAJ BARMAN
WEST BENGAL,2,MATHABHANGA,MALE,34.0,SC,IND,Football Player,1166,1,1167,0.54,248022.0,6,HARADHAN ROY
WEST BENGAL,2,MATHABHANGA,MALE,40.0,SC,IND,Telephone,1144,3,1147,0.54,248022.0,7,ANIMESH MOHANTA
WEST BENGAL,2,MATHABHANGA,MALE,35.0,SC,SUCI,Battery torch,582,7,589,0.27,248022.0,8,BIKASH BARMAN
WEST BENGAL,2,MATHABHANGA,MALE,56.0,SC,AMB,Boat with Man and Sail,481,5,486,0.23,248022.0,9,RATAN BARMAN
TURN OUT,,,,,TOTAL:,,,212255,1948,214203,86.36,,,
WEST BENGAL,3,COOCHBEHAR UTTAR,MALE,52.0,SC,BJP,Lotus,118656,1827,120483,49.4,282988.0,1,SUKUMAR ROY
WEST BENGAL,3,COOCHBEHAR UTTAR,MALE,60.0,SC,AITC,Flowers and Grass,104823,1045,105868,43.4,282988.0,2,BINAY KRISHNA BARMAN
WEST BENGAL,3,COOCHBEHAR UTTAR,MALE,65.0,SC,AIFB,Lion,11232,243,11475,4.7,282988.0,3,NAGENDRA NATH ROY
WEST BENGAL,3,COOCHBEHAR UTTAR,,,,NOTA,NOTA,1555,15,1570,0.64,282988.0,4,NOTA
WEST BENGAL,3,COOCHBEHAR UTTAR,MALE,53.0,SC,SUCI,Battery torch,1375,11,1386,0.57,282988.0,5,ANIL CHANDRA ROY
WEST BENGAL,3,COOCHBEHAR UTTAR,MALE,48.0,SC,IND,SHIP,1374,5,1379,0.57,282988.0,6,NARESH CHANDRA ROY
