state_ut_name,ac_name,winner_name,winner_party,runner_up_name,runner_up_party,vote_margin_pct
WEST BENGAL,DINHATA,NISITH PRAMANIK,BJP,UDAYAN GUHA,AITC,0.0233845194481253
WEST BENGAL,BALARAMPUR,BANESWAR MAHATO,BJP,SHANTIRAM MAHATO,AITC,0.2136741343166721
WEST BENGAL,DANTAN,BIKRAM CHANDRA PRADHAN,AITC,SAKTIPADA NAYAK,BJP,0.3149677954276585
WEST BENGAL,TAMLUK,SAUMEN KUMAR MAHAPATRA,AITC,HARE KRISHNA BERA,BJP,0.3359728171299532
WEST BENGAL,KULTI,AJAY KUMAR PODDAR,BJP,UJJAL CHATTERJEE,AITC,0.3885172830110947
WEST BENGAL,JALPAIGURI,DR. PRADIP KUMAR BARMA,AITC,SOUJIT SINGHA (PIKU),BJP,0.4164951556434872
WEST BENGAL,GHATAL,SITAL KAPAT,BJP,SHANKAR DOLAI,AITC,0.4286189683860233
WEST BENGAL,MOYNA,ASHOKE DINDA,BJP,SANGRAM KUMAR DOLAI,AITC,0.5614122637390057
WEST BENGAL,BANKURA,NILADRI SEKHAR DANA,BJP,SAYANTIKA BANERJEE,AITC,0.6734377437083116
WEST BENGAL,GAZOLE,CHINMOY DEB BARMAN,BJP,BASANTI BARMAN,AITC,0.8127876174202356
