state_ut_name,ac_name,winner_name,winner_party,runner_up_name,runner_up_party,vote_margin_pct
WEST BENGAL,SUJAPUR,MD ABDUL GHANI,AITC,ISHA KHAN CHOUDHURY,INC,62.70165854974445
WEST BENGAL,METIABURUZ,ABDUL KHALEQUE MOLLA,AITC,RAMJIT PRASAD,BJP,60.8417861248741
WEST BENGAL,RAGHUNATHGANJ,AKHRUZZAMAN,AITC,GOLAM MODASWER,BJP,51.61383466857065
WEST BENGAL,BALLYGUNGE,SUBRATA MUKHERJEE,AITC,LOKENATH CHATTERJEE,BJP,49.91918496045362
WEST BENGAL,MALATIPUR,ABDUR RAHIM BOXI,AITC,MOUSUMI DAS,BJP,49.57246986262966
WEST BENGAL,BHAGAWANGOLA,IDRIS ALI,AITC,MD. KAMAL HOSSAIN,CPI(M),46.90827027744591
WEST BENGAL,JANGIPUR,JAKIR HOSSAIN,AITC,SUJIT DAS,BJP,46.6451128047089
WEST BENGAL,GOALPOKHAR,MD. GHULAM RABBANI,AITC,MD. GHULAM SARWAR,BJP,45.50964187327824
WEST BENGAL,MURARAI,DR MOSARRAF HOSSAIN,AITC,DEBASISH ROY,BJP,45.08413753860415
WEST BENGAL,KOLKATA PORT,FIRHAD HAKIM,AITC,AWADH KISHORE GUPTA,BJP,44.97025117584933
